date,net_return
2026-07-20,0.0023653852749863
2026-07-21,0.0518400501632021
2026-07-22,-0.0154452298853001
2026-07-23,-0.0062885425293744
2026-07-24,-0.0134205053731073
2026-07-27,0.0153798218103133
2026-07-28,-0.0399311012711804
2026-07-29,-0.0021882718268032
2026-07-30,0.0
2026-07-31,0.0
2026-08-03,0.0
2026-08-04,0.0
2026-08-05,0.0
2026-08-06,0.0
2026-08-07,0.0
2026-08-10,0.0
2026-08-11,0.0
2026-08-12,0.0
2026-08-13,0.0
2026-08-14,0.0
2026-08-17,0.0
2026-08-18,0.0
2026-08-19,0.0
2026-08-20,0.0
2026-08-21,0.0
2026-08-24,0.0
2026-08-25,0.0
2026-08-26,0.0
2026-08-27,0.0
2026-08-28,0.0
2026-08-31,0.0
2026-09-01,0.0
2026-09-02,0.0
2026-09-03,0.0
2026-09-04,0.0
2026-09-07,0.0
2026-09-08,0.0
2026-09-09,0.0
